Profit Ratio,Category,City,Country/Region,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
16%,Furniture,Henderson,United States,Claire Gute,0%,1,11/8/2018,CA-2018-152156,42420,Bush,Bush Somerset Collection Bookcase,$42,2,South,$262,Consumer,11/11/2018,Second Class,Kentucky,Bookcases
30%,Furniture,Henderson,United States,Claire Gute,0%,1,11/8/2018,CA-2018-152156,42420,Hon,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$220,3,South,$732,Consumer,11/11/2018,Second Class,Kentucky,Chairs
47%,Office Supplies,Los Angeles,United States,Darrin Van Huff,0%,1,6/12/2018,CA-2018-138688,90036,Universal,Self-Adhesive Address Labels for Typewriters by Universal,$7,2,West,$15,Corporate,6/16/2018,Second Class,California,Labels
-40%,Furniture,Fort Lauderdale,United States,Sean O'Donnell,45%,1,10/11/2017,US-2017-108966,33311,Bretford,Bretford CR4500 Series Slim Rectangular Table,-$383,5,South,$958,Consumer,10/18/2017,Standard Class,Florida,Tables
11%,Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,20%,1,10/11/2017,US-2017-108966,33311,Eldon,Eldon Fold 'N Roll Cart System,$3,2,South,$22,Consumer,10/18/2017,Standard Class,Florida,Storage
29%,Furniture,Los Angeles,United States,Brosina Hoffman,0%,1,6/9/2016,CA-2016-115812,90032,Eldon,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$14,7,West,$49,Consumer,6/14/2016,Standard Class,California,Furnishings
27%,Office Supplies,Los Angeles,United States,Brosina Hoffman,0%,1,6/9/2016,CA-2016-115812,90032,Newell,Newell 322,$2,4,West,$7,Consumer,6/14/2016,Standard Class,California,Art
10%,Technology,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2016,CA-2016-115812,90032,Mitel,Mitel 5320 IP Phone VoIP phone,$91,6,West,$907,Consumer,6/14/2016,Standard Class,California,Phones
31%,Office Supplies,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2016,CA-2016-115812,90032,DXL,DXL Angle-View Binders with Locking Rings by Samsill,$6,3,West,$19,Consumer,6/14/2016,Standard Class,California,Binders
30%,Office Supplies,Los Angeles,United States,Brosina Hoffman,0%,1,6/9/2016,CA-2016-115812,90032,Belkin,Belkin F5C206VTEL 6 Outlet Surge,$34,5,West,$115,Consumer,6/14/2016,Standard Class,California,Appliances
5%,Furniture,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2016,CA-2016-115812,90032,Chromcraft,Chromcraft Rectangular Conference Tables,$85,9,West,"$1,706",Consumer,6/14/2016,Standard Class,California,Tables
8%,Technology,Los Angeles,United States,Brosina Hoffman,20%,1,6/9/2016,CA-2016-115812,90032,Other,Konftel 250 Conference phone - Charcoal black,$68,4,West,$911,Consumer,6/14/2016,Standard Class,California,Phones
35%,Office Supplies,Concord,United States,Andrew Allen,20%,1,4/15/2019,CA-2019-114412,28027,Xerox,Xerox 1967,$5,3,South,$16,Consumer,4/20/2019,Standard Class,North Carolina,Paper
33%,Office Supplies,Seattle,United States,Irene Maddox,20%,1,12/5/2018,CA-2018-161389,98103,Fellowes,Fellowes PB200 Plastic Comb Binding Machine,$133,3,West,$408,Consumer,12/10/2018,Standard Class,Washington,Binders
-180%,Office Supplies,Fort Worth,United States,Harold Pawlan,80%,1,11/22/2017,US-2017-118983,76106,Holmes,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-$124,5,Central,$69,Home Office,11/26/2017,Standard Class,Texas,Appliances
-150%,Office Supplies,Fort Worth,United States,Harold Pawlan,80%,1,11/22/2017,US-2017-118983,76106,Storex,Storex DuraTech Recycled Plastic Frosted Binders,-$4,3,Central,$3,Home Office,11/26/2017,Standard Class,Texas,Binders
2%,Office Supplies,Madison,United States,Pete Kriz,0%,1,11/11/2016,CA-2016-105893,53711,Other,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$13,6,Central,$666,Consumer,11/18/2016,Standard Class,Wisconsin,Storage
18%,Office Supplies,West Jordan,United States,Alejandro Grove,0%,1,5/13/2016,CA-2016-167164,84084,Fellowes,Fellowes Super Stor/Drawer,$10,2,West,$56,Consumer,5/15/2016,Second Class,Utah,Storage
29%,Office Supplies,San Francisco,United States,Zuschuss Donatelli,0%,1,8/27/2016,CA-2016-143336,94109,Newell,Newell 341,$2,2,West,$9,Consumer,9/1/2016,Second Class,California,Art
7%,Technology,San Francisco,United States,Zuschuss Donatelli,20%,1,8/27/2016,CA-2016-143336,94109,Cisco,Cisco SPA 501G IP Phone,$16,3,West,$213,Consumer,9/1/2016,Second Class,California,Phones
33%,Office Supplies,San Francisco,United States,Zuschuss Donatelli,20%,1,8/27/2016,CA-2016-143336,94109,Wilson Jones,"Wilson Jones Hanging View Binder, White, 1""",$7,4,West,$23,Consumer,9/1/2016,Second Class,California,Binders
26%,Office Supplies,Fremont,United States,Ken Black,0%,1,12/9/2018,CA-2018-137330,68025,Newell,Newell 318,$5,7,Central,$19,Corporate,12/13/2018,Standard Class,Nebraska,Art
26%,Office Supplies,Fremont,United States,Ken Black,0%,1,12/9/2018,CA-2018-137330,68025,Acco,"Acco Six-Outlet Power Strip, 4' Cord Length",$16,7,Central,$60,Corporate,12/13/2018,Standard Class,Nebraska,Appliances
-1%,Furniture,Philadelphia,United States,Sandra Flanagan,30%,1,7/16/2019,US-2019-156909,19140,Global,"Global Deluxe Stacking Chair, Gray",-$1,2,East,$71,Consumer,7/18/2019,Second Class,Pennsylvania,Chairs
23%,Furniture,Orem,United States,Emily Burns,0%,1,9/25/2017,CA-2017-106320,84057,Bretford,Bretford CR4500 Series Slim Rectangular Table,$240,3,West,"$1,045",Consumer,9/30/2017,Standard Class,Utah,Tables
36%,Office Supplies,Los Angeles,United States,Eric Hoffmann,20%,1,1/16/2018,CA-2018-121755,90049,Wilson Jones,Wilson Jones Active Use Binders,$4,2,West,$12,Consumer,1/20/2018,Second Class,California,Binders
13%,Technology,Los Angeles,United States,Eric Hoffmann,0%,1,1/16/2018,CA-2018-121755,90049,Other,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$12,3,West,$91,Consumer,1/20/2018,Second Class,California,Accessories
-54%,Furniture,Philadelphia,United States,Tracy Blumstein,50%,1,9/17/2017,US-2017-150630,19140,Riverside,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","-$1,665",7,East,"$3,083",Consumer,9/21/2017,Standard Class,Pennsylvania,Bookcases
-73%,Office Supplies,Philadelphia,United States,Tracy Blumstein,70%,1,9/17/2017,US-2017-150630,19140,Avery,Avery Recycled Flexi-View Covers for Binding Systems,-$7,2,East,$10,Consumer,9/21/2017,Standard Class,Pennsylvania,Binders
